millis,lat,lon,speed_mph,heading_deg,accel_x_g,accel_y_g,accel_z_g
148919,NO_FIX,NO_FIX,0.00,0.0,0.3902,0.8574,0.3168
149419,NO_FIX,NO_FIX,0.00,0.0,0.3998,0.8454,0.3168
149919,NO_FIX,NO_FIX,0.00,0.0,0.3932,0.8535,0.3275
150419,NO_FIX,NO_FIX,0.00,0.0,0.3893,0.8579,0.3143
150919,NO_FIX,NO_FIX,0.00,0.0,0.3754,0.8471,0.3146
151419,NO_FIX,NO_FIX,0.00,0.0,0.3929,0.8549,0.3278
151919,NO_FIX,NO_FIX,0.00,0.0,0.3988,0.8503,0.3217
152419,NO_FIX,NO_FIX,0.00,0.0,0.3883,0.8444,0.3165
152919,NO_FIX,NO_FIX,0.00,0.0,0.4032,0.8586,0.3097
153419,NO_FIX,NO_FIX,0.00,0.0,0.3976,0.8474,0.3209
153919,NO_FIX,NO_FIX,0.00,0.0,0.4027,0.8652,0.3231
154419,NO_FIX,NO_FIX,0.00,0.0,0.3961,0.8566,0.3163
154919,NO_FIX,NO_FIX,0.00,0.0,0.3959,0.8549,0.3112
155419,NO_FIX,NO_FIX,0.00,0.0,0.3876,0.8449,0.2958
155919,NO_FIX,NO_FIX,0.00,0.0,0.3920,0.8493,0.3314
156419,NO_FIX,NO_FIX,0.00,0.0,0.4049,0.8554,0.3292
156919,NO_FIX,NO_FIX,0.00,0.0,0.3876,0.8520,0.3183
157419,NO_FIX,NO_FIX,0.00,0.0,0.4107,0.8874,0.3192
157919,NO_FIX,NO_FIX,0.00,0.0,0.4105,0.8832,0.3485
158419,NO_FIX,NO_FIX,0.00,0.0,0.3907,0.8457,0.3219
158919,NO_FIX,NO_FIX,0.00,0.0,0.4012,0.8339,0.3407
159419,NO_FIX,NO_FIX,0.00,0.0,0.4269,0.8725,0.3627
159919,NO_FIX,NO_FIX,0.00,0.0,0.4017,0.8544,0.3209
160419,NO_FIX,NO_FIX,0.00,0.0,0.3915,0.8645,0.3302
160919,NO_FIX,NO_FIX,0.00,0.0,0.3905,0.8442,0.3117
161419,NO_FIX,NO_FIX,0.00,0.0,0.3998,0.8701,0.3226
161919,NO_FIX,NO_FIX,0.00,0.0,0.3961,0.8552,0.3185
162419,NO_FIX,NO_FIX,0.00,0.0,0.3890,0.8576,0.3187
162919,NO_FIX,NO_FIX,0.00,0.0,0.3956,0.8554,0.3185
163419,NO_FIX,NO_FIX,0.00,0.0,0.3907,0.8535,0.3151
163919,NO_FIX,NO_FIX,0.00,0.0,0.3973,0.8464,0.3226
164419,NO_FIX,NO_FIX,0.00,0.0,0.4112,0.8430,0.3190
164919,NO_FIX,NO_FIX,0.00,0.0,0.3873,0.8618,0.3168
165419,NO_FIX,NO_FIX,0.00,0.0,0.4078,0.8610,0.3400
165919,NO_FIX,NO_FIX,0.00,0.0,0.3841,0.8564,0.3141
166419,NO_FIX,NO_FIX,0.00,0.0,0.3949,0.8518,0.3217
166919,NO_FIX,NO_FIX,0.00,0.0,0.3876,0.8947,0.2968
167419,NO_FIX,NO_FIX,0.00,0.0,0.4129,0.8674,0.3261
167919,NO_FIX,NO_FIX,0.00,0.0,0.3932,0.8591,0.3244
168419,NO_FIX,NO_FIX,0.00,0.0,0.3907,0.8449,0.3185
168919,NO_FIX,NO_FIX,0.00,0.0,0.3920,0.8474,0.3195
169419,NO_FIX,NO_FIX,0.00,0.0,0.3898,0.8505,0.3261
169919,NO_FIX,NO_FIX,0.00,0.0,0.3910,0.8569,0.3214
170419,NO_FIX,NO_FIX,0.00,0.0,0.3883,0.8562,0.3178
170919,NO_FIX,NO_FIX,0.00,0.0,0.3751,0.8593,0.3192
171419,NO_FIX,NO_FIX,0.00,0.0,0.3788,0.8501,0.3361
171919,NO_FIX,NO_FIX,0.00,0.0,0.3534,0.8544,0.2912
172419,NO_FIX,NO_FIX,0.00,0.0,0.3956,0.8542,0.3183
