timestamp,latitude,longitude,speed,heading
2186021,39.789984,-86.231170,18.38,188.6
2186506,39.789984,-86.231170,18.38,188.6
2187006,39.789911,-86.231185,18.41,189.1
2187509,39.789911,-86.231185,18.41,189.1
2188009,39.789837,-86.231200,18.46,189.3
2188510,39.789837,-86.231200,18.46,189.3
2189010,39.789764,-86.231216,18.47,189.6
2189513,39.789764,-86.231216,18.47,189.6
2190013,39.789690,-86.231232,18.60,189.9
2190514,39.789690,-86.231232,18.60,189.9
2191015,39.789616,-86.231250,18.63,191.1
2191517,39.789616,-86.231250,18.63,191.1
2192017,39.789542,-86.231271,18.77,192.6
2192519,39.789542,-86.231271,18.77,192.6
2193019,39.789469,-86.231294,18.82,194.2
2193521,39.789469,-86.231294,18.82,194.2
2194021,39.789395,-86.231320,19.03,195.5
2194505,39.789395,-86.231320,19.03,195.5
2195006,39.789323,-86.231349,18.92,197.9
2195507,39.789323,-86.231349,18.92,197.9
2196008,39.789252,-86.231384,18.75,201.7
2196510,39.789252,-86.231384,18.75,201.7
2197011,39.789184,-86.231423,18.72,205.0
2197512,39.789184,-86.231423,18.72,205.0
2198013,39.789117,-86.231467,18.50,208.1
2198514,39.789117,-86.231467,18.50,208.1
2199015,39.789054,-86.231515,18.31,211.1
2199517,39.789054,-86.231515,18.31,211.1
2200018,39.788993,-86.231566,18.06,213.8
2200519,39.788993,-86.231566,18.06,213.8
2201019,39.788935,-86.231620,17.83,216.1
2201521,39.788935,-86.231620,17.83,216.1
2202021,39.788880,-86.231677,17.55,218.6
2202506,39.788880,-86.231677,17.55,218.6
2203006,39.788827,-86.231736,17.31,221.5
2203509,39.788827,-86.231736,17.31,221.5
2204009,39.788779,-86.231799,17.07,224.5
2204510,39.788779,-86.231799,17.07,224.5
2205010,39.788732,-86.231863,16.81,226.7
2205513,39.788732,-86.231863,16.81,226.7
2206013,39.788688,-86.231928,16.62,229.3
2206514,39.788688,-86.231928,16.62,229.3
2207015,39.788647,-86.231995,16.27,232.2
2207517,39.788647,-86.231995,16.27,232.2
2208017,39.788609,-86.232063,15.93,234.9
2208519,39.788609,-86.232063,15.93,234.9
2209019,39.788575,-86.232132,15.69,237.7
2209521,39.788575,-86.232132,15.69,237.7
2210021,39.788543,-86.232201,15.37,239.8
2210505,39.788543,-86.232201,15.37,239.8
2211006,39.788514,-86.232270,15.10,241.7
2211507,39.788514,-86.232270,15.10,241.7
2212009,39.788487,-86.232340,14.86,243.8
2212510,39.788487,-86.232340,14.86,243.8
2213011,39.788464,-86.232410,14.51,246.9
2213512,39.788464,-86.232410,14.51,246.9
2214013,39.788443,-86.232479,14.27,249.0
2214514,39.788443,-86.232479,14.27,249.0
2215015,39.788425,-86.232550,14.12,252.0
2215517,39.788425,-86.232550,14.12,252.0
2216018,39.788409,-86.232620,14.13,253.7
2216519,39.788409,-86.232620,14.13,253.7
2217019,39.788396,-86.232692,13.97,256.0
2217521,39.788396,-86.232692,13.97,256.0
2218021,39.788384,-86.232764,13.98,257.3
2218506,39.788384,-86.232764,13.98,257.3
2219006,39.788372,-86.232835,14.03,258.0
